index,CVE_id,project,actual_class,predicted_class,classification,comments,codeLink,commit_id
178317,CVE-2008-1950,savannah,Fixing,Fixing,tp,handling of zero?size server name and too many server name,https://git.savannah.gnu.org/gitweb/?p=gnutls.git;a=commitdiff;h=bc8102405fda11ea00ca3b42acc4f4bce9d6e97b,bc8102405fda11ea00ca3b42acc4f4bce9d6e97b
177911,CVE-2009-0946,savannah,Fixing,Fixing,tp,check of length (cast/ type change),https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=a18788b14db60ae3673f932249cd02d33a227c4e,a18788b14db60ae3673f932249cd02d33a227c4e
177747,CVE-2013-6051,savannah,Not_fixing,Not_Fixing,tn,,https://git.savannah.gnu.org/gitweb/?p=quagga.git;a=commitdiff;h=8794e8d229dc9fe29ea31424883433d4880ef408,8794e8d229dc9fe29ea31424883433d4880ef408
178519,CVE-2018-0496,savannah,Fixing,Not_Fixing,fn,new code block,https://git.savannah.gnu.org/cgit/freedink/dfarc.git/commit/?id=40cc957f52e772f45125126439ba9333cf2d2998,40cc957f52e772f45125126439ba9333cf2d2998
178021,CVE-2014-9665,savannah,Not_fixing,Not_Fixing,tn,,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=b3500af717010137046ec4076d1e1c0641e33727,b3500af717010137046ec4076d1e1c0641e33727
178017,CVE-2014-9669,savannah,Fixing,Fixing,tp,condition getting stronger but they kept previous condition as comment that's why our code mis predicting it as new block,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=602040b1112c9f94d68e200be59ea7ac3d104565,602040b1112c9f94d68e200be59ea7ac3d104565
178014,CVE-2014-9672,savannah,Fixing,Fixing,tp,buffer overrun fix,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=18a8f0d9943369449bc4de92d411c78fb08d616c,18a8f0d9943369449bc4de92d411c78fb08d616c
177914,CVE-2009-0946,savannah,Fixing,Fixing,tp,prevent a buffer overflow,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=79972af4f0485a11dcb19551356c45245749fc5b,79972af4f0485a11dcb19551356c45245749fc5b
177901,CVE-2015-2806,savannah,Fixing,Fixing,tp,buffer overflow when converting a long to a string,https://git.savannah.gnu.org/gitweb/?p=libtasn1.git;a=commit;h=4d4f992826a4962790ecd0cce6fbba4a415ce149,4d4f992826a4962790ecd0cce6fbba4a415ce149
178361,CVE-2016-2342,savannah,Fixing,Fixing,tp,prevent potential buffer overflows,https://git.savannah.gnu.org/cgit/quagga.git/commit/?id=a3bc7e9400b214a0f078fdb19596ba54214a1442,a3bc7e9400b214a0f078fdb19596ba54214a1442
178176,CVE-2010-2500,savannah,Fixing,Fixing,tp,avoid integer overflow,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=6305b869d86ff415a33576df6d43729673c66eee,6305b869d86ff415a33576df6d43729673c66eee
177885,CVE-2011-1428,savannah,Fixing,Fixing,fn,Node changed(multiple error handled),https://git.savannah.gnu.org/gitweb/?p=weechat.git;a=commit;h=c265cad1c95b84abfd4e8d861f25926ef13b5d91,c265cad1c95b84abfd4e8d861f25926ef13b5d91
178188,CVE-2016-4971,savannah,Not_fixing,Not_Fixing,tn,Function parameter changed. Not fixing here.,https://git.savannah.gnu.org/cgit/wget.git/commit/?id=e996e322ffd42aaa051602da182d03178d0f13e1,e996e322ffd42aaa051602da182d03178d0f13e1
178056,CVE-2017-8105,savannah,Fixing,Fixing,tp,(preventing a buffer overflow when handling malformed flex operators,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=f958c48ee431bef8d4d466b40c9cb2d4dbcb7791,f958c48ee431bef8d4d466b40c9cb2d4dbcb7791
177768,CVE-2018-20482,savannah,Fixing,Fixing,tp,preventing an endless loop when a sparse file is truncated while being archived,https://git.savannah.gnu.org/cgit/tar.git/commit/?id=c15c42ccd1e2377945fd0414eca1a49294bff454,c15c42ccd1e2377945fd0414eca1a49294bff454
178009,CVE-2014-9745,savannah,Fixing,Fixing,tp,protecting against an invalid number in the encoding array,https://git.savannah.gnu.org/cgit/freetype/freetype2.git/commit/?id=df14e6c0b9592cbb24d5381dfc6106b14f915e75,df14e6c0b9592cbb24d5381dfc6106b14f915e75
